Learning Rate,epsilon,Accuracy,Training Time
0.001,32,1e-07,0.9462989568710327,734.1395463943481
0.001,32,1e-08,0.9472060799598694,697.7504026889801
0.0005,32,1e-07,0.9450290203094482,713.4716777801514
0.0005,32,1e-08,0.9435776472091675,741.5527527332306

